0.00-0.04: <s>
303.05-303.22: of
303.23-303.30: the
303.31-303.69: first
303.70-303.98: link
303.99-304.03: <sil>
304.04-304.13: in
304.14-304.20: the
304.21-304.57: cities
304.58-304.89: and
304.90-305.00: you
305.01-305.14: two
305.15-305.46: to
305.47-305.86: <sil>
305.87-306.08: any
306.09-306.20: of
306.21-306.33: the
306.34-306.78: ohio
306.79-307.17: and(2)
307.18-307.24: <sil>
307.25-307.56: six
307.57-307.82: does(2)
307.83-308.26: smalls
308.27-308.51: smalls
308.52-309.17: reliably
309.18-309.49: make
309.50-309.68: [SPEECH]
309.69-309.75: a
309.76-310.08: thousand(2)
310.09-310.37: dollars(2)
310.38-310.40: a(2)
310.41-310.69: year
310.70-311.11: <sil>
311.12-311.37: as
311.38-311.60: the(2)
311.61-311.80: king
311.81-312.12: who
312.13-312.33: looks
312.34-312.74: runs
312.75-312.96: <sil>
312.97-313.25: between
313.26-313.40: this
313.41-313.69: video
313.70-314.00: and(2)
314.01-314.10: the(2)
314.11-314.30: u.
314.31-314.49: in
314.50-314.55: the
314.56-315.19: description
315.20-315.46: <sil>
315.47-315.57: you
315.58-315.72: are(2)
315.73-316.16: well
316.17-316.49: underway
316.50-316.65: to(3)
316.66-317.15: living
317.16-317.28: the
317.29-317.51: good
317.52-317.91: life
317.92-318.00: <sil>
318.01-318.17: so
318.18-318.37: what
318.38-318.44: you
318.45-318.60: know
318.61-318.78: that(2)
318.79-319.24: and
319.25-319.41: one
319.42-319.55: for(2)
319.56-319.72: you
319.73-320.04: when(3)
320.05-320.17: <sil>
320.18-320.35: i
320.36-320.68: walked
320.69-320.85: by
320.86-321.05: which
321.06-321.11: he
321.12-321.47: learns
321.48-321.75: feel
321.76-322.33: that(2)
322.34-322.41: a
322.42-322.78: question(2)
322.79-323.02: </s>
